8.347197 4.976019 210 CBQ
7.561961 6.474272 466 ENU
6.696111 12.171667 1520 QUS
3.978333 7.362458 725 IBA
4.493919 8.440211 1126 ILR
8.86905 9.639828 4232 JOS
7.320114 10.696025 2073 KAD
8.524622 12.047589 1562 KAN
13.08095 11.855347 1099 MIU
8.613939 7.703883 371 MDI
3.321156 6.577369 135 LOS
6.462256 9.652172 834 MXJ
6.949594 5.015494 87 PHC
5.207189 12.916322 1010 SKO
12.430422 9.257553 599 YOL
7.685806 11.130192 2170 ZAR
7.126753 13.502531 1240 MFQ
2.183614 13.481547 732 NIM
5.265358 14.875658 1266 THZ
8.000114 16.965997 1657 AJY
12.86865 18.968703 1273 ?
12.626686 13.372894 994 ?
8.983761 13.778997 1516 ZND
10.754722 35.758056 9 MIR
10.227217 36.851033 22 TUN
9.791453 37.245447 20 ?
10.382108 32.306156 1004 ?
8.822503 34.422022 1060 GAF
10.103333 33.876919 26 GAE
9.943147 36.721339 108 ?
10.775461 33.875031 19 DJE
9.254619 31.704281 827 EBM
10.690972 34.717953 85 SFA
8.110556 33.939722 287 TOE
1.09125 9.767333 1515 LRL
1.254511 6.165611 72 LFW
4.460278 51.189444 39 ANR
4.768333 50.75861 370 ?
5.47 51.168333 200 ?
4.484444 50.901389 184 BRU
5.223889 49.891667 1514 ?
4.453817 50.459197 614 CRL
3.831 50.575833 193 ?
2.652778 51.090278 20 ?
4.645833 50.243333 935 ?
3.204722 50.817222 64 QKT
5.443222 50.637417 659 LGG
2.862222 51.198889 13 OST
5.590556 50.9475 312 ?
5.201667 50.791944 246 ?
5.404167 50.035833 1930 ?
3.474361 51.144133 95 ?
4.960194 51.394783 105 ?
4.753333 51.264722 53 ?
14.519747 51.193531 568 BBJ
12.506361 50.981817 640 AOC
12.184033 51.831828 187 ?
14.585667 52.197333 149 ?
-86.8138056 39.6335556 842 4I7
13.554973 51.308111 417 ?
11.940833 51.363 340 ?
12.052667 51.552 347 ?
13.356 51.2935 322 ?
12.753139 53.306417 220 ?
13.915683 52.579978 263 ?
13.158408 52.203258 131 ?
12.699705 54.33754 23 BBH
11.714519 50.915161 1228 ?
12.425333 52.918833 130 ?
11.626467 52.073658 268 ?
14.95 51.363167 517 ?
13.669131 53.8327 18 ?
14.531986 51.889475 274 ?
14.129 51.29625 495 ?
13.5225 52.380001 157 SXF
13.767161 51.132767 755 DRS
10.958106 50.979811 1036 ERF
8.543125 50.026421 364 FRA
7.684831 52.134642 160 FMO
9.988228 53.630389 53 HAM
13.403944 52.473025 167 THF
7.142744 50.865917 302 CGN
6.766775 51.289453 147 DUS
11.786086 48.353783 1487 MUC
11.066897 49.4987 1046 NUE
12.241633 51.432447 465 LEJ
7.109508 49.214553 1058 SCN
9.221964 48.689878 1276 STR
13.287711 52.559686 122 TXL
9.685078 52.461056 183 HAJ
8.786667 53.0475 14 BRE
8.6415 49.960833 385 ?
7.263892 49.948672 1649 HHN
8.514264 49.472706 309 MHG
8.680839 51.034878 1164 ?
8.3684 49.606511 295 ?
8.148336 49.968931 760 ?
10.472711 50.992797 1101 ?
8.082969 50.707658 1966 ?
9.837025 53.535886 22 XFW
10.145167 54.3795 101 KEL
10.719222 53.805367 53 LBC
6.528083 50.405888 1896 ?
7.601944 51.099445 1548 ?
7.899333 51.483333 794 ZCA
6.937333 51.402333 424 ESS
8.544833 51.964833 454 ?
6.504494 51.230356 125 MGL
8.616317 51.614089 699 PAD
6.840667 51.995844 157 ?
7.612242 51.518314 425 DTM
10.931764 48.425158 1515 AGB
9.762833 48.111 1903 ?
12.723667 48.396167 1342 ?
10.524333 48.108833 1857 ?
11.283067 48.081364 1947 OBF
12.518186 48.90095 1054 ?
13.195667 48.635167 991 ?
10.014572 47.859117 2099 ?
9.511486 47.671317 1367 FDH
11.783436 53.426997 166 SZW
11.818333 52.627778 184 ZSN
10.264667 48.777833 1916 ?
11.638569 49.984428 1601 BYU
11.133167 49.793833 1674 ?
11.854919 50.288836 1960 HOQ
10.5295 50.018 718 ?
7.528667 50.3255 640 ZNV
6.788167 49.8635 665 ZQF
8.451195 49.302776 312 ZQC
7.400647 49.209525 1133 ?
8.522223 47.973331 2231 ZQL
7.832583 48.022653 799 ?
9.372833 48.053833 1820 ?
9.783956 49.118317 1311 ?
